Date,Estimated Gun Sales
October 2012,98597
November 2012,136129
December 2012,227567
January 2013,167797
February 2013,152440
March 2013,130901
April 2013,101930
May 2013,89715
June 2013,77734
July 2013,78968
August 2013,97249
September 2013,93725
October 2013,97957
November 2013,117726
December 2013,150105
January 2014,90673
February 2014,121229
March 2014,104303
April 2014,82622
May 2014,80742
June 2014,75114
July 2014,75536
August 2014,98587
September 2014,97970
October 2014,102880
November 2014,122859
December 2014,162322
January 2015,96785
February 2015,123187
March 2015,106185
April 2015,84427
May 2015,89366
June 2015,85250
July 2015,84534
August 2015,97712
September 2015,101770
October 2015,102832
November 2015,125432
December 2015,208628
January 2016,127819
February 2016,135517
March 2016,103968
April 2016,88231
May 2016,78638
June 2016,96996
July 2016,102573
August 2016,98805
September 2016,97552
October 2016,109767
November 2016,134320
December 2016,157078
January 2017,89402
February 2017,113510
March 2017,110858
April 2017,88368
May 2017,85564
June 2017,94214
July 2017,79332
August 2017,87975
September 2017,96870
October 2017,99089
November 2017,130065
December 2017,156421
January 2018,87000
February 2018,119141
March 2018,123649
April 2018,85157
May 2018,78185
June 2018,82203
July 2018,72781
August 2018,89690
September 2018,82112
October 2018,81788
November 2018,112723
December 2018,137083
January 2019,82735
February 2019,98462
March 2019,106219
April 2019,77474
May 2019,78835
June 2019,76626
July 2019,69706
August 2019,104405
September 2019,94482
October 2019,92473
November 2019,116888
December 2019,140785
January 2020,99500
February 2020,111553
March 2020,238523
April 2020,158526
May 2020,137608
June 2020,185746
July 2020,155554
August 2020,137744
September 2020,131390
October 2020,134378
November 2020,153564
December 2020,156756
January 2021,153517
February 2021,96128
March 2021,168462
April 2021,136468
May 2021,118919
June 2021,116375
July 2021,110081
August 2021,116779
September 2021,130032
October 2021,123209
November 2021,132265
December 2021,163787
January 2022,103880
February 2022,118127
March 2022,141303
April 2022,110178
May 2022,103858
June 2022,120224
July 2022,106042
August 2022,110167
September 2022,109213
